Zone,Area
Central,cantonment area
Central,Domlur
Central,Indiranagar
Central,Jeevanbheemanagar
Central,Malleswaram
Central,Pete area
Central,Rajajinagar
Central,Sadashivanagar
Central,Seshadripuram
Central,Shivajinagar
Central,Ulsoor
Central,Vasanth Nagar
Eastern,Bellandur
Eastern,CV Raman Nagar
Eastern,Hoodi
Eastern,Krishnarajapuram
Eastern,Mahadevapura
Eastern,Marathahalli
Eastern,Varthur
Eastern,Whitefield
North-Eastern,Banaswadi 
North-Eastern,HBR Layout 
North-Eastern,Horamavu 
North-Eastern,Kammanahalli 
North-Eastern,Lingarajapuram 
North-Eastern,Ramamurthy Nagar 
Northern,Hebbal 
Northern,Jalahalli 
Northern,Mathikere 
Northern,Peenya 
Northern,R. T. Nagar 
Northern,Vidyaranyapura 
Northern,Yelahanka 
Northern,Yeshwanthpur 
South-Eastern,Bommanahalli 
South-Eastern,Bommasandra 
South-Eastern,BTM Layout 
South-Eastern,Electronic City 
South-Eastern,HSR Layout 
South-Eastern,Koramangala 
South-Eastern,Madiwala 
Southern,Banashankari 
Southern,Basavanagudi 
Southern,Girinagar 
Southern,J. P. Nagar 
Southern,Jayanagar 
Southern,Kumaraswamy Layout 
Southern,Padmanabhanagar 
Southern,Uttarahalli
Southern suburbs,Anjanapura 
Southern suburbs,Arekere 
Southern suburbs,Begur 
Southern suburbs,Gottigere 
Southern suburbs,Hulimavu 
Southern suburbs,Kothnur
Western,Basaveshwaranagar 
Western,Kamakshipalya 
Western,Kengeri 
Western,Mahalakshmi Layout 
Western,Nagarbhavi 
Western,Nandini Layout 
Western,Nayandahalli 
Western,Rajarajeshwari Nagar 
Western ,Vijayanagar
